"Date","Time","Variable","Value"
2018-07-18,"00:00:00","Temperature_C",23.32
2018-07-18,"00:05:00","Temperature_C",23.31
2018-07-18,"00:10:00","Temperature_C",23.31
2018-07-18,"00:15:00","Temperature_C",23.32
2018-07-18,"00:20:00","Temperature_C",23.34
2018-07-18,"00:25:00","Temperature_C",23.36
2018-07-18,"00:30:00","Temperature_C",23.35
2018-07-18,"00:35:00","Temperature_C",23.46
2018-07-18,"00:40:00","Temperature_C",23.56
2018-07-18,"00:45:00","Temperature_C",23.5
2018-07-18,"00:50:00","Temperature_C",23.41
2018-07-18,"00:55:00","Temperature_C",23.34
2018-07-18,"01:00:00","Temperature_C",23.33
2018-07-18,"01:05:00","Temperature_C",23.34
2018-07-18,"01:10:00","Temperature_C",23.33
2018-07-18,"01:15:00","Temperature_C",23.35
2018-07-18,"01:20:00","Temperature_C",23.33
2018-07-18,"01:25:00","Temperature_C",23.33
2018-07-18,"01:30:00","Temperature_C",23.32
2018-07-18,"01:35:00","Temperature_C",23.34
2018-07-18,"01:40:00","Temperature_C",23.32
2018-07-18,"01:45:00","Temperature_C",23.45
2018-07-18,"01:50:00","Temperature_C",23.54
2018-07-18,"01:55:00","Temperature_C",23.49
2018-07-18,"02:00:00","Temperature_C",23.49
2018-07-18,"02:05:00","Temperature_C",23.47
2018-07-18,"02:10:00","Temperature_C",23.47
2018-07-18,"02:15:00","Temperature_C",23.44
2018-07-18,"02:20:00","Temperature_C",23.42
2018-07-18,"02:25:00","Temperature_C",23.41
2018-07-18,"02:30:00","Temperature_C",23.37
2018-07-18,"02:35:00","Temperature_C",23.37
2018-07-18,"02:40:00","Temperature_C",23.32
2018-07-18,"02:45:00","Temperature_C",23.3
2018-07-18,"02:50:00","Temperature_C",23.37
2018-07-18,"02:55:00","Temperature_C",23.51
2018-07-18,"03:00:00","Temperature_C",23.49
2018-07-18,"03:05:00","Temperature_C",23.44
2018-07-18,"03:10:00","Temperature_C",23.39
2018-07-18,"03:15:00","Temperature_C",23.34
2018-07-18,"03:20:00","Temperature_C",23.27
2018-07-18,"03:25:00","Temperature_C",23.22
2018-07-18,"03:30:00","Temperature_C",23.23
2018-07-18,"03:35:00","Temperature_C",23.26
2018-07-18,"03:40:00","Temperature_C",23.25
2018-07-18,"03:45:00","Temperature_C",23.24
2018-07-18,"03:50:00","Temperature_C",23.24
2018-07-18,"03:55:00","Temperature_C",23.26
2018-07-18,"04:00:00","Temperature_C",23.29
2018-07-18,"04:05:00","Temperature_C",23.33
2018-07-18,"04:10:00","Temperature_C",23.43
2018-07-18,"04:15:00","Temperature_C",23.37
2018-07-18,"04:20:00","Temperature_C",23.31
2018-07-18,"04:25:00","Temperature_C",23.28
2018-07-18,"04:30:00","Temperature_C",23.33
2018-07-18,"04:35:00","Temperature_C",23.4
2018-07-18,"04:40:00","Temperature_C",23.4
2018-07-18,"04:45:00","Temperature_C",23.38
2018-07-18,"04:50:00","Temperature_C",23.4
2018-07-18,"04:55:00","Temperature_C",23.39
2018-07-18,"05:00:00","Temperature_C",23.4
2018-07-18,"05:05:00","Temperature_C",23.41
2018-07-18,"05:10:00","Temperature_C",23.41
2018-07-18,"05:15:00","Temperature_C",23.47
2018-07-18,"05:20:00","Temperature_C",23.46
2018-07-18,"05:25:00","Temperature_C",23.4
2018-07-18,"05:30:00","Temperature_C",23.46
2018-07-18,"05:35:00","Temperature_C",23.51
2018-07-18,"05:40:00","Temperature_C",23.5
2018-07-18,"05:45:00","Temperature_C",23.43
2018-07-18,"05:50:00","Temperature_C",23.41
2018-07-18,"05:55:00","Temperature_C",23.49
2018-07-18,"06:00:00","Temperature_C",23.57
2018-07-18,"06:05:00","Temperature_C",23.53
2018-07-18,"06:10:00","Temperature_C",23.48
2018-07-18,"06:15:00","Temperature_C",23.42
2018-07-18,"06:20:00","Temperature_C",23.38
2018-07-18,"06:25:00","Temperature_C",23.47
2018-07-18,"06:30:00","Temperature_C",23.52
2018-07-18,"06:35:00","Temperature_C",23.45
2018-07-18,"06:40:00","Temperature_C",23.44
2018-07-18,"06:45:00","Temperature_C",23.51
2018-07-18,"06:50:00","Temperature_C",23.56
2018-07-18,"06:55:00","Temperature_C",23.5
2018-07-18,"07:00:00","Temperature_C",23.45
2018-07-18,"07:05:00","Temperature_C",23.52
2018-07-18,"07:10:00","Temperature_C",23.58
2018-07-18,"07:15:00","Temperature_C",23.53
2018-07-18,"07:20:00","Temperature_C",23.52
2018-07-18,"07:25:00","Temperature_C",23.47
2018-07-18,"07:30:00","Temperature_C",23.46
2018-07-18,"07:35:00","Temperature_C",23.52
2018-07-18,"07:40:00","Temperature_C",23.55
2018-07-18,"07:45:00","Temperature_C",23.49
2018-07-18,"07:50:00","Temperature_C",23.48
2018-07-18,"07:55:00","Temperature_C",23.55
2018-07-18,"08:00:00","Temperature_C",23.53
2018-07-18,"08:05:00","Temperature_C",23.46
2018-07-18,"08:10:00","Temperature_C",23.49
2018-07-18,"08:15:00","Temperature_C",23.58
2018-07-18,"08:20:00","Temperature_C",23.62
2018-07-18,"08:25:00","Temperature_C",23.61
2018-07-18,"08:30:00","Temperature_C",23.56
2018-07-18,"08:35:00","Temperature_C",23.48
2018-07-18,"08:40:00","Temperature_C",23.51
2018-07-18,"08:45:00","Temperature_C",23.62
2018-07-18,"08:50:00","Temperature_C",23.62
2018-07-18,"08:55:00","Temperature_C",23.55
2018-07-18,"09:00:00","Temperature_C",23.51
2018-07-18,"09:05:00","Temperature_C",23.44
2018-07-18,"09:10:00","Temperature_C",23.44
2018-07-18,"09:15:00","Temperature_C",23.42
2018-07-18,"09:20:00","Temperature_C",23.43
2018-07-18,"09:25:00","Temperature_C",23.43
2018-07-18,"09:30:00","Temperature_C",23.45
2018-07-18,"09:35:00","Temperature_C",23.42
2018-07-18,"09:40:00","Temperature_C",23.44
2018-07-18,"09:45:00","Temperature_C",23.48
2018-07-18,"09:50:00","Temperature_C",23.49
2018-07-18,"09:55:00","Temperature_C",23.49
2018-07-18,"10:00:00","Temperature_C",23.58
2018-07-18,"10:05:00","Temperature_C",23.56
2018-07-18,"10:10:00","Temperature_C",23.51
2018-07-18,"10:15:00","Temperature_C",23.47
2018-07-18,"10:20:00","Temperature_C",23.43
2018-07-18,"10:25:00","Temperature_C",23.4
2018-07-18,"10:30:00","Temperature_C",23.4
2018-07-18,"10:35:00","Temperature_C",23.39
2018-07-18,"10:40:00","Temperature_C",23.43
2018-07-18,"10:45:00","Temperature_C",23.43
2018-07-18,"10:50:00","Temperature_C",23.4
2018-07-18,"10:55:00","Temperature_C",23.41
2018-07-18,"11:00:00","Temperature_C",23.41
2018-07-18,"11:05:00","Temperature_C",23.49
2018-07-18,"11:10:00","Temperature_C",23.61
2018-07-18,"11:15:00","Temperature_C",23.54
2018-07-18,"11:20:00","Temperature_C",23.5
2018-07-18,"11:25:00","Temperature_C",23.49
2018-07-18,"11:30:00","Temperature_C",23.48
2018-07-18,"11:35:00","Temperature_C",23.46
2018-07-18,"11:40:00","Temperature_C",23.48
2018-07-18,"11:45:00","Temperature_C",23.55
2018-07-18,"11:50:00","Temperature_C",23.55
2018-07-18,"11:55:00","Temperature_C",23.53
2018-07-18,"12:00:00","Temperature_C",23.5
2018-07-18,"12:05:00","Temperature_C",23.47
2018-07-18,"12:10:00","Temperature_C",23.46
2018-07-18,"12:15:00","Temperature_C",23.49
2018-07-18,"12:20:00","Temperature_C",23.66
2018-07-18,"12:25:00","Temperature_C",23.63
2018-07-18,"12:30:00","Temperature_C",23.59
2018-07-18,"12:35:00","Temperature_C",23.55
2018-07-18,"12:40:00","Temperature_C",23.54
2018-07-18,"12:45:00","Temperature_C",23.56
2018-07-18,"12:50:00","Temperature_C",23.62
2018-07-18,"12:55:00","Temperature_C",23.67
2018-07-18,"13:00:00","Temperature_C",23.63
2018-07-18,"13:05:00","Temperature_C",23.59
2018-07-18,"13:10:00","Temperature_C",23.57
2018-07-18,"13:15:00","Temperature_C",23.5
2018-07-18,"13:20:00","Temperature_C",23.45
2018-07-18,"13:25:00","Temperature_C",23.5
2018-07-18,"13:30:00","Temperature_C",23.58
2018-07-18,"13:35:00","Temperature_C",23.49
2018-07-18,"13:40:00","Temperature_C",23.43
2018-07-18,"13:45:00","Temperature_C",23.38
2018-07-18,"13:50:00","Temperature_C",23.34
2018-07-18,"13:55:00","Temperature_C",23.31
2018-07-18,"14:00:00","Temperature_C",23.31
2018-07-18,"14:05:00","Temperature_C",23.3
2018-07-18,"14:10:00","Temperature_C",23.26
2018-07-18,"14:15:00","Temperature_C",23.22
2018-07-18,"14:20:00","Temperature_C",23.17
2018-07-18,"14:25:00","Temperature_C",23.14
2018-07-18,"14:30:00","Temperature_C",23.11
2018-07-18,"14:35:00","Temperature_C",23.21
2018-07-18,"14:40:00","Temperature_C",23.17
2018-07-18,"14:45:00","Temperature_C",23.1
2018-07-18,"14:50:00","Temperature_C",23.04
2018-07-18,"14:55:00","Temperature_C",23.07
2018-07-18,"15:00:00","Temperature_C",23.07
2018-07-18,"15:05:00","Temperature_C",23.05
2018-07-18,"15:10:00","Temperature_C",23.09
2018-07-18,"15:15:00","Temperature_C",23.09
2018-07-18,"15:20:00","Temperature_C",23.08
2018-07-18,"15:25:00","Temperature_C",23.05
2018-07-18,"15:30:00","Temperature_C",23.02
2018-07-18,"15:35:00","Temperature_C",23.02
2018-07-18,"15:40:00","Temperature_C",23.11
2018-07-18,"15:45:00","Temperature_C",23.11
2018-07-18,"15:50:00","Temperature_C",23.05
2018-07-18,"15:55:00","Temperature_C",23.06
2018-07-18,"16:00:00","Temperature_C",23.09
2018-07-18,"16:05:00","Temperature_C",23.14
2018-07-18,"16:10:00","Temperature_C",23.17
2018-07-18,"16:15:00","Temperature_C",23.17
2018-07-18,"16:20:00","Temperature_C",23.16
2018-07-18,"16:25:00","Temperature_C",23.17
2018-07-18,"16:30:00","Temperature_C",23.2
2018-07-18,"16:35:00","Temperature_C",23.18
2018-07-18,"16:40:00","Temperature_C",23.19
2018-07-18,"16:45:00","Temperature_C",23.2
2018-07-18,"16:50:00","Temperature_C",23.3
2018-07-18,"16:55:00","Temperature_C",23.36
2018-07-18,"17:00:00","Temperature_C",23.33
2018-07-18,"17:05:00","Temperature_C",23.34
2018-07-18,"17:10:00","Temperature_C",23.34
2018-07-18,"17:15:00","Temperature_C",23.31
2018-07-18,"17:20:00","Temperature_C",23.31
2018-07-18,"17:25:00","Temperature_C",23.3
2018-07-18,"17:30:00","Temperature_C",23.27
2018-07-18,"17:35:00","Temperature_C",23.28
2018-07-18,"17:40:00","Temperature_C",23.26
2018-07-18,"17:45:00","Temperature_C",23.3
2018-07-18,"17:50:00","Temperature_C",23.33
2018-07-18,"17:55:00","Temperature_C",23.32
2018-07-18,"18:00:00","Temperature_C",23.35
2018-07-18,"18:05:00","Temperature_C",23.39
2018-07-18,"18:10:00","Temperature_C",23.5
2018-07-18,"18:15:00","Temperature_C",23.48
2018-07-18,"18:20:00","Temperature_C",23.47
2018-07-18,"18:25:00","Temperature_C",23.43
2018-07-18,"18:30:00","Temperature_C",23.42
2018-07-18,"18:35:00","Temperature_C",23.42
2018-07-18,"18:40:00","Temperature_C",23.41
2018-07-18,"18:45:00","Temperature_C",23.38
2018-07-18,"18:50:00","Temperature_C",23.36
2018-07-18,"18:55:00","Temperature_C",23.37
2018-07-18,"19:00:00","Temperature_C",23.4
2018-07-18,"19:05:00","Temperature_C",23.4
2018-07-18,"19:10:00","Temperature_C",23.41
2018-07-18,"19:15:00","Temperature_C",23.51
2018-07-18,"19:20:00","Temperature_C",23.59
2018-07-18,"19:25:00","Temperature_C",23.51
2018-07-18,"19:30:00","Temperature_C",23.45
2018-07-18,"19:35:00","Temperature_C",23.44
2018-07-18,"19:40:00","Temperature_C",23.46
2018-07-18,"19:45:00","Temperature_C",23.46
2018-07-18,"19:50:00","Temperature_C",23.47
2018-07-18,"19:55:00","Temperature_C",23.48
2018-07-18,"20:00:00","Temperature_C",23.56
2018-07-18,"20:05:00","Temperature_C",23.67
2018-07-18,"20:10:00","Temperature_C",23.65
2018-07-18,"20:15:00","Temperature_C",23.58
2018-07-18,"20:20:00","Temperature_C",23.57
2018-07-18,"20:25:00","Temperature_C",23.59
2018-07-18,"20:30:00","Temperature_C",23.59
2018-07-18,"20:35:00","Temperature_C",23.6
2018-07-18,"20:40:00","Temperature_C",23.6
2018-07-18,"20:45:00","Temperature_C",23.62
2018-07-18,"20:50:00","Temperature_C",23.62
2018-07-18,"20:55:00","Temperature_C",23.63
2018-07-18,"21:00:00","Temperature_C",23.62
2018-07-18,"21:05:00","Temperature_C",23.63
2018-07-18,"21:10:00","Temperature_C",23.74
2018-07-18,"21:15:00","Temperature_C",23.79
2018-07-18,"21:20:00","Temperature_C",23.74
2018-07-18,"21:25:00","Temperature_C",23.69
2018-07-18,"21:30:00","Temperature_C",23.62
2018-07-18,"21:35:00","Temperature_C",23.62
2018-07-18,"21:40:00","Temperature_C",23.58
2018-07-18,"21:45:00","Temperature_C",23.54
2018-07-18,"21:50:00","Temperature_C",23.52
2018-07-18,"21:55:00","Temperature_C",23.51
2018-07-18,"22:00:00","Temperature_C",23.51
2018-07-18,"22:05:00","Temperature_C",23.51
2018-07-18,"22:10:00","Temperature_C",23.52
2018-07-18,"22:15:00","Temperature_C",23.57
2018-07-18,"22:20:00","Temperature_C",23.69
2018-07-18,"22:25:00","Temperature_C",23.7
2018-07-18,"22:30:00","Temperature_C",23.62
2018-07-18,"22:35:00","Temperature_C",23.53
2018-07-18,"22:40:00","Temperature_C",23.51
2018-07-18,"22:45:00","Temperature_C",23.53
2018-07-18,"22:50:00","Temperature_C",23.53
2018-07-18,"22:55:00","Temperature_C",23.56
2018-07-18,"23:00:00","Temperature_C",23.61
2018-07-18,"23:05:00","Temperature_C",23.62
2018-07-18,"23:10:00","Temperature_C",23.66
2018-07-18,"23:15:00","Temperature_C",23.68
2018-07-18,"23:20:00","Temperature_C",23.73
2018-07-18,"23:25:00","Temperature_C",23.86
2018-07-18,"23:30:00","Temperature_C",23.85
2018-07-18,"23:35:00","Temperature_C",23.78
2018-07-18,"23:40:00","Temperature_C",23.72
2018-07-18,"23:45:00","Temperature_C",23.67
2018-07-18,"23:50:00","Temperature_C",23.68
2018-07-18,"23:55:00","Temperature_C",23.68
2018-07-18,"00:00:00","Humidity",46.16
2018-07-18,"00:05:00","Humidity",46.3
2018-07-18,"00:10:00","Humidity",46.27
2018-07-18,"00:15:00","Humidity",46.23
2018-07-18,"00:20:00","Humidity",46.23
2018-07-18,"00:25:00","Humidity",46.17
2018-07-18,"00:30:00","Humidity",46.15
2018-07-18,"00:35:00","Humidity",45.95
2018-07-18,"00:40:00","Humidity",45.73
2018-07-18,"00:45:00","Humidity",45.69
2018-07-18,"00:50:00","Humidity",45.79
2018-07-18,"00:55:00","Humidity",46.09
2018-07-18,"01:00:00","Humidity",46.11
2018-07-18,"01:05:00","Humidity",46.06
2018-07-18,"01:10:00","Humidity",46.12
2018-07-18,"01:15:00","Humidity",46.1
2018-07-18,"01:20:00","Humidity",46.03
2018-07-18,"01:25:00","Humidity",46.1
2018-07-18,"01:30:00","Humidity",46.19
2018-07-18,"01:35:00","Humidity",46.26
2018-07-18,"01:40:00","Humidity",46.25
2018-07-18,"01:45:00","Humidity",46.1
2018-07-18,"01:50:00","Humidity",45.86
2018-07-18,"01:55:00","Humidity",45.88
2018-07-18,"02:00:00","Humidity",45.84
2018-07-18,"02:05:00","Humidity",45.94
2018-07-18,"02:10:00","Humidity",46.13
2018-07-18,"02:15:00","Humidity",46.2
2018-07-18,"02:20:00","Humidity",46.23
2018-07-18,"02:25:00","Humidity",46.32
2018-07-18,"02:30:00","Humidity",46.4
2018-07-18,"02:35:00","Humidity",46.35
2018-07-18,"02:40:00","Humidity",46.44
2018-07-18,"02:45:00","Humidity",46.57
2018-07-18,"02:50:00","Humidity",46.61
2018-07-18,"02:55:00","Humidity",46.38
2018-07-18,"03:00:00","Humidity",46.32
2018-07-18,"03:05:00","Humidity",46.4
2018-07-18,"03:10:00","Humidity",46.47
2018-07-18,"03:15:00","Humidity",46.63
2018-07-18,"03:20:00","Humidity",46.81
2018-07-18,"03:25:00","Humidity",46.96
2018-07-18,"03:30:00","Humidity",47.04
2018-07-18,"03:35:00","Humidity",47.06
2018-07-18,"03:40:00","Humidity",47.11
2018-07-18,"03:45:00","Humidity",47.09
2018-07-18,"03:50:00","Humidity",47.23
2018-07-18,"03:55:00","Humidity",47.26
2018-07-18,"04:00:00","Humidity",47.22
2018-07-18,"04:05:00","Humidity",47.12
2018-07-18,"04:10:00","Humidity",46.89
2018-07-18,"04:15:00","Humidity",47.03
2018-07-18,"04:20:00","Humidity",47.18
2018-07-18,"04:25:00","Humidity",47.43
2018-07-18,"04:30:00","Humidity",47.68
2018-07-18,"04:35:00","Humidity",47.57
2018-07-18,"04:40:00","Humidity",47.59
2018-07-18,"04:45:00","Humidity",48.21
2018-07-18,"04:50:00","Humidity",48.21
2018-07-18,"04:55:00","Humidity",48.03
2018-07-18,"05:00:00","Humidity",47.83
2018-07-18,"05:05:00","Humidity",47.78
2018-07-18,"05:10:00","Humidity",47.52
2018-07-18,"05:15:00","Humidity",47.61
2018-07-18,"05:20:00","Humidity",47.53
2018-07-18,"05:25:00","Humidity",47.46
2018-07-18,"05:30:00","Humidity",47.29
2018-07-18,"05:35:00","Humidity",47.05
2018-07-18,"05:40:00","Humidity",47.02
2018-07-18,"05:45:00","Humidity",47.12
2018-07-18,"05:50:00","Humidity",47.49
2018-07-18,"05:55:00","Humidity",47.17
2018-07-18,"06:00:00","Humidity",47.07
2018-07-18,"06:05:00","Humidity",47.11
2018-07-18,"06:10:00","Humidity",47.07
2018-07-18,"06:15:00","Humidity",47.22
2018-07-18,"06:20:00","Humidity",47.35
2018-07-18,"06:25:00","Humidity",47.39
2018-07-18,"06:30:00","Humidity",47.37
2018-07-18,"06:35:00","Humidity",47.17
2018-07-18,"06:40:00","Humidity",47.31
2018-07-18,"06:45:00","Humidity",46.98
2018-07-18,"06:50:00","Humidity",46.64
2018-07-18,"06:55:00","Humidity",46.72
2018-07-18,"07:00:00","Humidity",47
2018-07-18,"07:05:00","Humidity",47
2018-07-18,"07:10:00","Humidity",46.83
2018-07-18,"07:15:00","Humidity",46.84
2018-07-18,"07:20:00","Humidity",46.74
2018-07-18,"07:25:00","Humidity",46.78
2018-07-18,"07:30:00","Humidity",46.91
2018-07-18,"07:35:00","Humidity",46.66
2018-07-18,"07:40:00","Humidity",46.63
2018-07-18,"07:45:00","Humidity",46.5
2018-07-18,"07:50:00","Humidity",46.73
2018-07-18,"07:55:00","Humidity",46.12
2018-07-18,"08:00:00","Humidity",45.83
2018-07-18,"08:05:00","Humidity",46.08
2018-07-18,"08:10:00","Humidity",46.1
2018-07-18,"08:15:00","Humidity",46.04
2018-07-18,"08:20:00","Humidity",46.42
2018-07-18,"08:25:00","Humidity",46.4
2018-07-18,"08:30:00","Humidity",46.48
2018-07-18,"08:35:00","Humidity",46.58
2018-07-18,"08:40:00","Humidity",46.46
2018-07-18,"08:45:00","Humidity",46.5
2018-07-18,"08:50:00","Humidity",46.1
2018-07-18,"08:55:00","Humidity",46.29
2018-07-18,"09:00:00","Humidity",46.44
2018-07-18,"09:05:00","Humidity",46.65
2018-07-18,"09:10:00","Humidity",46.76
2018-07-18,"09:15:00","Humidity",46.9
2018-07-18,"09:20:00","Humidity",46.86
2018-07-18,"09:25:00","Humidity",47.07
2018-07-18,"09:30:00","Humidity",46.96
2018-07-18,"09:35:00","Humidity",46.93
2018-07-18,"09:40:00","Humidity",47.01
2018-07-18,"09:45:00","Humidity",46.61
2018-07-18,"09:50:00","Humidity",46.59
2018-07-18,"09:55:00","Humidity",46.56
2018-07-18,"10:00:00","Humidity",46.56
2018-07-18,"10:05:00","Humidity",46.52
2018-07-18,"10:10:00","Humidity",46.4
2018-07-18,"10:15:00","Humidity",46.49
2018-07-18,"10:20:00","Humidity",46.48
2018-07-18,"10:25:00","Humidity",46.64
2018-07-18,"10:30:00","Humidity",46.66
2018-07-18,"10:35:00","Humidity",46.9
2018-07-18,"10:40:00","Humidity",46.73
2018-07-18,"10:45:00","Humidity",46.46
2018-07-18,"10:50:00","Humidity",46.58
2018-07-18,"10:55:00","Humidity",46.53
2018-07-18,"11:00:00","Humidity",46.55
2018-07-18,"11:05:00","Humidity",46.44
2018-07-18,"11:10:00","Humidity",46.42
2018-07-18,"11:15:00","Humidity",46.26
